Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,Album Label/Number,Title,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,327,h,2011-001,20,8,0,1,30,,Rick Ross,"Ross, Rick",Featuring Drake & Chrisette Michele,,Teflon Don,,Aston Martin Music,4:30,,,,7809,,,Maybach/Slip-N-Slide/Def Jam Digital,DD,,,,,"W.Roberts II,K.Crowe,E.Ortiz,A.Graham,C.Payne",1063,07/08/2010,01/01/2011,98,,,,,,,,,,,96,66,50,48,37,35,37,38,35,33,30,45,46,37,46,47,47,54,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,345,h,2011-002,21,2,0,1,38,,Plain White T's,Plain White T's,,,s,,Rhythm Of Love,3:21,,,,7857,,,Hollywood Digital,DD,,,,,T.Lopez,749,28/08/2010,19/02/2011,96,,,,99,98,,,89,82,70,80,65,78,66,68,71,55,55,53,49,42,47,41,40,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,367,h,2011-003,31,23,0,1,13,,Waka Flocka Flame,Waka Flocka Flame,Featuring Roscoe Dash & Wale,,s,,No Hands,4:27,,,,8083,,,1017 Brick Squad/Asylum Digital,DD,,,,,"J.Jones,J.L.Johnson,O.Akintimehin,C.Gholson",2386,25/09/2010,22/01/2011,45,46,44,43,30,22,18,20,21,25,23,22,18,16,18,14,15,13,14,15,15,21,28,29,32,35,36,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,380,h,2011-004,23,0,0,1,42,,Linkin Park,Linkin Park,,,A Thousand Suns (Deluxe Edition),,Waiting For The End,3:51,,,,7031,,,Machine Shop Digital (Warner Bros.),DD,,,,,Linkin Park,729,02/10/2010,19/02/2011,96,,,95,,100,95,84,93,82,88,83,74,72,70,65,60,56,50,49,42,52,50,47,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,382,h,2011-005,25,21,9,1,1,,Wiz Khalifa,Wiz Khalifa,,,s,,Black And Yellow,3:36,,,,8126,,,Rostrum Digital,DD,,,,,"C.Thomaz,M.S.Eriksen,T.E.Hermansen",2230,02/10/2010,19/02/2011,100,,,,64,51,43,29,29,25,19,14,11,12,6,8,7,5,3,4,1,4,10,18,26,29,34,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,397,h,2011-006,28,20,3,1,7,,Pitbull,Pitbull,Featuring T-Pain,,s,,Hey Baby (Drop It To The Floor),3:55,,,,4915,,,Mr. 305/Polo Grounds/J Digital,DD,,,,,"S.Wilhelm,A.C.Perez,T-Pain",2164,16/10/2010,12/02/2011,51,44,57,52,52,39,44,40,43,41,32,27,32,27,22,20,10,7,9,12,17,14,14,15,17,16,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,406,h,2011-007,28,23,17,4,1,,Bruno Mars,"Mars, Bruno",,,Doo-Wops & Hooligans,,Grenade,3:42,,,,8130,,,Elektra Digital,DD,,,,,"Bruno Mars,P.Lawrence,A.Levine,B.Brown,C.Kelly,A. Wyatt",2937,16/10/2010,08/01/2011,81,88,79,75,64,36,30,17,10,5,3,2,1,2,1,2,1,1,2,3,3,3,6,7,9,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,421,h,2011-008,27,16,0,2,16,,Edward Maya & Vika Jigulina,"Maya, Edward, & Vika Jigulina",,,Stereo Love - Remixes,,Stereo Love,4:07,,,,8131,,,Ultra Digital,DD,,,,,"E.M.Ilie,V.Corneva",1801,23/10/2010,01/01/2011,93,74,67,57,48,37,35,26,24,19,16,22,21,17,16,19,20,28,35,42,38,43,39,42,42,41,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,450,h,2011-009,24,19,0,1,15,,Chris Brown,"Brown, Chris",,,s,,Yeah 3X,4:01,,,,7750,,,Jive Digital,DD,,,,,"J.Franks,C.Brown,K.McCall,A.Streeter",1798,13/11/2010,29/01/2011,33,59,62,44,39,33,22,20,19,19,16,15,17,16,17,22,19,27,28,31,41,40,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,468,h,2011-010,20,8,0,1,31,,Kenny Chesney,"Chesney, Kenny",,,Hemmingway's Whiskey (Deluxe Version),,Somewhere With You,4:03,,,,6686,,,BNA Digital,DD,,,Country,,"J.Harding,S.McAnally",1098,20/11/2010,22/01/2011,67,58,46,49,40,37,36,48,44,31,35,34,33,37,50,55,58,60,71,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
