Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,Album Label/Number,Title,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week
2010,1,h,2010_011,27,21,11,2,1,,"Black Eyed Peas, The","Black Eyed Peas, The",,,The E.N.D. (The Energy Never Dies),,Imma Be,4:17,,,,7204,,,will.i.am Digital,DD,,,,,"W.Adams,A.Pineda,J.Gomez,S.Ferguson,K.Harris,J.Tankel,D.Foder,T.Brenneck,M.Deller",2485,06/06/2009,06/03/2010,50,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,93,66,46,34,15,11,4,2,3,1,1,5,4,6,7,7,8,11,15,17,20,27,32,39,45,,,,,,,,,,,,,,,,,,,,,
2010,114,h,2010_012,29,26,16,1,1,,Taio Cruz,"Cruz, Taio",Featuring Ludacris,,s,,Break Your Heart,3:05,,,,8085,,,Mercury 014302,12,,,,,"T.Cruz,F.T.Smith,C.Bridges",2897,13/03/2010,20/03/2010,53,1,3,5,6,6,4,4,3,4,4,5,4,5,6,7,10,12,14,14,15,17,19,21,23,30,37,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,369,h,2010_013,27,25,15,1,1,,Rihanna,Rihanna,,,s,,Only Girl (In The World),3:55,,,,7472,,,SRP/Def Jam Digital,DD,,,,,"C.Johnson,M.S.Eriksen,T.E.Hermansen,S.Wilhelm",2663,25/09/2010,04/12/2010,75,3,8,8,6,4,3,4,4,2,1,3,6,6,7,13,12,10,12,18,21,27,33,35,36,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,414,h,2010_014,27,26,14,1,1,,P!nk,Pink,,,,,Raise Your Glass,3:23,,,,6711,,,LaFace Digital,DD,,,,,"P!nk,Max Martin,Shellback",2665,23/10/2010,11/12/2010,51,11,10,10,7,4,2,1,2,4,4,5,5,5,8,8,11,13,17,23,30,31,32,29,34,38,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,441,h,2010_015,22,19,14,1,1,,Rihanna,Rihanna,Featuring Drake,,Loud,,What's My Name?,4:23,,,,7472,,,SRP/Def Jam PROMO SINGLE,,,,,,"M.S.Eriksen,T.E.Hermansen,E.Dean,T.Hale,A.Graham",2189,06/11/2010,20/11/2010,83,60,1,7,8,5,3,2,3,4,4,3,4,5,6,8,13,12,26,30,35,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,447,h,2010_016,20,19,14,1,1,,Ke$ha,Ke$ha,,,Single,,We R Who We R,3:24,,,,8062,,,Kemosabe/RCA Digital,,,,,,"K.Sebert,J.Coleman,L.Gottwald,J.Kasher Hindlin,B.Levin",2105,13/11/2010,13/11/2010,1,5,6,4,6,8,5,5,3,3,4,7,7,10,12,20,30,34,37,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,200,h,2010_017,25,25,7,1,1,,Eminem,Eminem,,,Recovery,,Not Afraid,4:10,,xc,,6716,,,Web/Shady/Aftermath Digital,DD,,,,,"M.Mathers,L.E.Resto,M.Samuels,J.Evans,M.Burnette",2455,22/05/2010,22/05/2010,1,6,9,10,11,8,9,11,10,11,11,11,13,14,14,15,15,16,15,14,19,24,28,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,247,h,2010_018,45,38,18,3,2,,Taio Cruz,"Cruz, Taio",,,Rokstarr (Bonus Track Version),,Dynamite,3:23,,,,8085,,,Mercury Digital,DD,,,,,"L.Gottwald,K.S.Martin,B.Levin,B.McKee,T.Cruz",4105,19/06/2010,21/08/2010,26,45,31,14,7,6,4,3,3,2,2,2,3,3,4,6,5,6,7,8,8,9,11,14,14,13,13,14,17,16,13,11,18,21,25,30,37,40,37,41,41,47,46,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,95,h,2010_019,60,50,16,2,2,,Lady Antebellum,Lady Antebellum,,,,,Need You Now,3:57,,,,7945,,,Capitol Nashville Digital,DD,,,,,"D.Haywood,C.Kelley,H.Scott,J.Kear",5024,29/08/2009,20/03/2010,85,86,90,72,59,51,37,30,24,22,18,22,22,5,14,17,16,19,21,22,20,19,17,18,8,3,6,5,3,2,2,4,4,4,6,5,4,5,10,12,13,14,14,15,18,21,21,22,22,23,27,32,33,23,34,38,46,47,46,48,,,,,,,,,,,,,,,,
2010,170,h,2010_020,30,29,17,1,2,,B.o.B.,B.o.B,Featuring Haley Williams Of Paramore,,The Adventures Of Bobby Ray,,Airplanes,3:01,,x,,8065,,,Rebel Rock/Grand Hustle 524726,,,,,,"B.R.Simmons, Jr.,J.Franks,A.Grant,J.Dussolliet,T.Sommers",2977,01/05/2010,05/06/2010,12,9,7,5,3,2,3,3,3,3,4,4,3,3,4,4,6,9,11,12,14,14,16,18,22,24,31,33,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4,h,2010_021,34,27,14,1,2,,Iyaz,Iyaz,,,Replay (EP),,Replay,3:01,,,,8054,,,Beluga Heights Digital,DD,,,,,"K.Smith,T.Thomas,T.Thomas,J.Desrouleaux,K.Anderson,J.Rotem",2878,05/09/2009,09/01/2010,96,80,77,66,68,51,24,14,14,12,12,4,4,6,5,4,4,4,2,3,4,5,6,7,10,14,16,20,24,25,30,35,39,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,27,h,2010_022,25,23,13,1,2,,Young Money,Young Money,Featuring Lloyd,,We Are Young Money,,Bedrock,4:49,,xc,,8037,,,Young Money/Cash Money Digital,DD,,,,,"D.Johnson,L.Polite,D.Carter,A.Graham,J.A.Mills,C.Lilly,M.Stevenson,O.Maraj",2406,12/12/2009,13/03/2010,36,24,20,12,12,12,8,4,4,3,4,4,3,2,3,7,8,9,10,14,21,24,31,42,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,96,h,2010_023,5,3,2,1,2,,Artists For Haiti,Artists For Haiti,,,s,,We Are The World 25: For Haiti,6:56,,,,8081,,,We Are The World Foundation Digital,DD,,,,,"M.Jackson,L.Richie",334,27/02/2010,27/02/2010,2,6,36,66,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,67,h,2010_024,18,11,1,1,2,,Taylor Swift,"Swift, Taylor",,,Single,,Today Was A Fairytale,4:01,,,,7850,,,Big Machine Digital,DD,,,,,T.Swift,1045,06/02/2010,06/02/2010,2,22,39,30,24,31,30,30,35,36,38,41,56,65,81,85,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
